date,listeners,streams,followers
2018-06-28,29,138,270
2018-06-27,42,226,269
2018-06-26,36,252,269
2018-06-25,33,97,269
2018-06-24,31,52,268
2018-06-23,25,58,268
2018-06-22,38,53,268
2018-06-21,38,73,267
2018-06-20,28,57,266
2018-06-19,27,52,266
2018-06-18,29,58,266
2018-06-17,25,70,266
2018-06-16,16,24,263
2018-06-15,26,45,263
2018-06-14,23,37,263
2018-06-13,32,63,263
2018-06-12,35,61,263
2018-06-11,35,117,262
2018-06-10,19,47,261
2018-06-09,20,56,261
2018-06-08,31,69,261
2018-06-07,31,68,262
2018-06-06,34,54,262
2018-06-05,29,107,262
2018-06-04,31,73,262
2018-06-03,32,60,262
2018-06-02,31,64,262
2018-06-01,27,52,262
2018-05-31,31,71,262
2018-05-30,24,118,262
2018-05-29,27,97,262
2018-05-28,27,43,261
2018-05-27,23,38,261
2018-05-26,34,55,260
2018-05-25,24,81,259
2018-05-24,29,64,258
2018-05-23,32,90,258
2018-05-22,34,102,258
2018-05-21,22,37,258
2018-05-20,19,42,258
2018-05-19,29,45,258
2018-05-18,31,87,258
2018-05-17,37,74,258
2018-05-16,34,137,257
2018-05-15,34,125,257
2018-05-14,25,136,256
2018-05-13,28,66,256
2018-05-12,27,34,255
2018-05-11,21,43,255
2018-05-10,30,51,254
2018-05-09,35,53,254
2018-05-08,20,46,254
2018-05-07,27,45,253
2018-05-06,23,46,253
2018-05-05,28,60,253
2018-05-04,25,50,253
2018-05-03,33,49,253
2018-05-02,32,64,252
2018-05-01,31,62,252
2018-04-30,30,65,252
2018-04-29,20,41,252
2018-04-28,32,47,252
2018-04-27,25,53,252
2018-04-26,31,52,252
2018-04-25,39,72,252
2018-04-24,40,94,252
2018-04-23,22,36,252
2018-04-22,31,60,252
2018-04-21,39,97,251
2018-04-20,40,144,250
2018-04-19,29,116,250
2018-04-18,41,92,249
2018-04-17,32,116,249
2018-04-16,38,127,249
2018-04-15,26,44,249
2018-04-14,28,53,248
2018-04-13,30,63,248
2018-04-12,23,52,248
2018-04-11,31,57,248
2018-04-10,26,70,247
2018-04-09,30,93,247
2018-04-08,23,55,247
2018-04-07,37,84,246
2018-04-06,33,84,246
2018-04-05,31,119,246
2018-04-04,40,135,246
2018-04-03,32,84,246
2018-04-02,25,83,244
2018-04-01,30,94,244
2018-03-31,26,98,244
2018-03-30,26,51,244
2018-03-29,32,67,244
2018-03-28,32,42,244
2018-03-27,37,107,244
2018-03-26,42,87,244
2018-03-25,31,74,243
2018-03-24,35,101,242
2018-03-23,28,127,242
2018-03-22,43,105,240
2018-03-21,28,167,241
2018-03-20,33,110,241
2018-03-19,40,117,241
2018-03-18,31,68,240
2018-03-17,35,55,240
2018-03-16,46,112,240
2018-03-15,33,78,239
2018-03-14,38,104,239
2018-03-13,37,87,238
2018-03-12,40,133,237
2018-03-11,21,42,233
2018-03-10,32,79,232
2018-03-09,38,93,232
2018-03-08,39,131,230
2018-03-07,34,90,230
2018-03-06,42,160,229
2018-03-05,37,104,229
2018-03-04,37,75,228
2018-03-03,33,83,228
2018-03-02,39,95,228
2018-03-01,30,89,228
2018-02-28,37,143,228
2018-02-27,41,119,228
2018-02-26,46,159,228
2018-02-25,37,121,227
2018-02-24,33,130,227
2018-02-23,44,126,227
2018-02-22,45,174,226
2018-02-21,42,114,226
2018-02-20,27,95,226
2018-02-19,20,51,226
2018-02-18,21,37,226
2018-02-17,30,66,225
2018-02-16,34,141,224
2018-02-15,30,70,224
2018-02-14,31,135,224
2018-02-13,27,101,225
2018-02-12,36,114,225
2018-02-11,27,65,225
2018-02-10,27,62,225
2018-02-09,28,99,225
2018-02-08,36,151,224
2018-02-07,39,152,224
2018-02-06,47,218,224
2018-02-05,40,244,224
2018-02-04,30,85,223
2018-02-03,33,114,223
2018-02-02,31,100,223
2018-02-01,32,103,223
2018-01-31,34,125,223
2018-01-30,41,163,222
2018-01-29,29,141,222
2018-01-28,31,100,220
2018-01-27,25,58,220
2018-01-26,28,106,220
2018-01-25,42,116,221
2018-01-24,36,138,221
2018-01-23,42,103,221
2018-01-22,35,114,221
2018-01-21,29,62,221
2018-01-20,32,70,221
2018-01-19,35,103,221
2018-01-18,43,139,221
2018-01-17,39,134,221
2018-01-16,29,123,221
2018-01-15,31,58,221
2018-01-14,30,66,220
2018-01-13,38,90,220
2018-01-12,37,106,219
2018-01-11,39,150,220
2018-01-10,32,76,219
2018-01-09,38,123,217
2018-01-08,31,140,216
2018-01-07,30,90,216
2018-01-06,33,83,213
2018-01-05,34,99,213
2018-01-04,30,94,211
2018-01-03,35,128,211
2018-01-02,38,110,210
2018-01-01,18,53,210
2017-12-31,32,88,210
2017-12-30,26,93,210
2017-12-29,34,139,208
2017-12-28,28,76,207
2017-12-27,28,70,207
2017-12-26,21,52,207
2017-12-25,18,30,206
2017-12-24,26,98,205
2017-12-23,28,71,205
2017-12-22,26,93,204
2017-12-21,33,115,204
2017-12-20,39,111,204
2017-12-19,30,95,204
2017-12-18,36,90,204
2017-12-17,28,101,204
2017-12-16,25,71,204
2017-12-15,39,113,204
2017-12-14,27,53,204
2017-12-13,35,80,204
2017-12-12,37,122,203
2017-12-11,42,93,203
2017-12-10,37,90,203
2017-12-09,43,119,203
2017-12-08,46,124,203
2017-12-07,64,178,201
2017-12-06,34,109,200
2017-12-05,34,113,199
2017-12-04,38,138,199
2017-12-03,34,130,198
2017-12-02,45,166,197
2017-12-01,57,230,197
2017-11-30,47,249,194
2017-11-29,50,226,192
2017-11-28,54,231,192
2017-11-27,51,421,192
2017-11-26,40,286,192
2017-11-25,42,157,192
2017-11-24,58,200,190
2017-11-23,42,159,187
2017-11-22,57,363,186
2017-11-21,47,222,184
2017-11-20,26,74,182
2017-11-19,18,29,181
2017-11-18,27,44,180
2017-11-17,23,37,179
2017-11-16,31,82,175
2017-11-15,30,80,175
2017-11-14,18,41,174
2017-11-13,21,34,173
2017-11-12,15,30,173
2017-11-11,20,46,173
2017-11-10,24,46,173
2017-11-09,23,73,172
2017-11-08,21,43,170
2017-11-07,22,65,170
2017-11-06,20,42,170
2017-11-05,18,39,170
2017-11-04,24,42,170
2017-11-03,20,34,170
2017-11-02,18,32,170
2017-11-01,30,57,169
2017-10-31,31,51,169
2017-10-30,21,47,169
2017-10-29,20,40,169
2017-10-28,16,34,169
2017-10-27,28,63,169
2017-10-26,24,42,168
2017-10-25,26,63,168
2017-10-24,14,60,167
2017-10-23,22,45,168
2017-10-22,24,43,167
2017-10-21,18,47,165
2017-10-20,26,67,161
2017-10-19,26,64,161
2017-10-18,36,117,161
2017-10-17,24,47,161
2017-10-16,22,67,161
2017-10-15,21,41,161
2017-10-14,18,36,161
2017-10-13,37,88,160
2017-10-12,34,87,160
2017-10-11,30,81,159
2017-10-10,22,64,159
2017-10-09,26,104,159
2017-10-08,23,38,158
2017-10-07,20,37,158
2017-10-06,23,58,158
2017-10-05,40,83,157
2017-10-04,29,74,156
2017-10-03,27,50,156
2017-10-02,20,35,154
2017-10-01,19,66,154
2017-09-30,25,52,154
2017-09-29,24,201,154
2017-09-28,25,62,154
2017-09-27,26,50,154
2017-09-26,27,70,154
2017-09-25,24,50,153
2017-09-24,16,27,153
2017-09-23,22,55,152
2017-09-22,34,104,152
2017-09-21,29,69,152
2017-09-20,26,66,152
